Sample_ID,Polymer,Concentration_pct,Characteristic_Frequency_Hz,Min_Phase_deg
S01,None (control),0.0,37.278458,-171.99728
S12,PCL,0.5,0.099951774,-149.00816
S13,PCL,1.0,0.099951774,-57.047066
S14,PCL,5.0,0.10002181,-79.813011
S15,PCL,10.0,0.10002181,-81.022583
S16,PCL,20.0,0.10002181,-72.76522800000001
S07,PE,0.5,0.32671914,-73.552826
S08,PE,1.0,0.1484558,-148.47299
S09,PE,5.0,0.22013262,-63.901329
S10,PE,10.0,0.22013262,-69.88110400000001
S11,PE,20.0,0.099951774,-73.905952
S02,PP,0.5,0.1484558,-171.69946
S03,PP,1.0,0.1484558,-69.948601
S04,PP,5.0,0.1484558,-171.69946
S05,PP,10.0,0.22013262,-63.603909
S06,PP,20.0,0.099951774,-91.926186
