Sample_ID,Polymer,Concentration_pct,High_actual_Hz,High_ReZ_ohm,High_Zmag_ohm,High_Phase_deg,Mid_actual_Hz,Mid_ReZ_ohm,Mid_Zmag_ohm,Mid_Phase_deg,Low_actual_Hz,Low_ReZ_ohm,Low_Zmag_ohm,Low_Phase_deg
S01,None (control),0.0,45408.992,1236.1892,1236.2659,-0.63804954,876.96313,-0.0040560318,0.0041990322,-165.00414,1.0674969,-0.071973003,0.11323015,129.46707
S12,PCL,0.5,45408.992,3464.2615,3464.3462,0.40086424,876.96313,3583.7515,3584.3013,-1.0034989,1.0674969,4908.1812,6882.5835,-44.509792
S13,PCL,1.0,45408.992,3445.1152,3445.1226,-0.11777906,876.96313,3613.8926,3614.5549,-1.0969622,1.0674969,4957.7485,5644.8672,-28.564964
S14,PCL,5.0,45408.992,3955.2488,3955.2642,-0.16028161,876.96313,4049.5935,4051.377,-1.7001319,1.0684506,9163.8281,19050.424,-61.247295
S15,PCL,10.0,45408.992,3093.7708,3094.2148,-0.97078568,876.96313,3186.7898,3187.2793,-1.004163,1.0684506,4454.502899999999,9739.9268,-62.784111
S16,PCL,20.0,45408.992,3188.9524,3189.2593,-0.7949634200000001,876.96313,3280.3679,3281.176,-1.2716644,1.0684506,6419.8159,11078.722,-54.58654
S07,PE,0.5,45408.992,3731.5715,3731.5718,0.022892969,876.96313,3895.0078,3896.4033,-1.5335208,1.0674969,6330.062,16222.106,-67.032303
S08,PE,1.0,45408.992,3081.6594,3082.5803,-1.4005579,876.96313,3250.5356,3251.2627,-1.2116743,1.0674969,4950.0229,9027.0908,-56.745975
S09,PE,5.0,45408.992,3807.7783,3807.7786,0.019973174,876.96313,3970.7053,3971.5105,-1.1537429,1.0674969,5842.4136,8106.427699999999,-43.886566
S10,PE,10.0,45408.992,3285.8406,3285.8501,0.13753167,876.96313,3417.5618,3418.1489,-1.0620258,1.0674969,4725.245599999999,6813.864299999999,-46.094166
S11,PE,20.0,45408.992,3417.626,3417.6267,0.040306993,876.96313,3558.7385,3559.3328,-1.0469052,1.0674969,4667.9834,6206.4829,-41.226154
S02,PP,0.5,45408.992,2209.686,2210.2617,-1.3077163,876.96313,2319.9412,2320.5554,-1.3183038,1.0674969,4102.7256,6411.866199999999,-50.218285
S03,PP,1.0,45408.992,4296.1743,4296.1753,-0.042620517,876.96313,4493.0117,4494.0093,-1.2073762,1.0674969,6022.104499999999,8046.898399999999,-41.550117
S04,PP,5.0,45408.992,2209.686,2210.2617,-1.3077163,876.96313,2319.9412,2320.5554,-1.3183038,1.0674969,4102.7256,6411.866199999999,-50.218285
S05,PP,10.0,45408.992,3780.7698,3780.7739,0.08471863,876.96313,3941.4819,3942.1931,-1.0882754,1.0674969,5235.6743,6403.1196,-35.147221
S06,PP,20.0,45408.992,3519.2146,3519.2283,0.15929085,876.96313,3672.457,3673.7788,-1.536967,1.0674969,5669.6626,17274.875,-70.840271
