County,FIPS,split,My_Composite_Risk_Score,predicted,residual,residual_SDs
Fort Bend,48157,train,0.2754253537,0.3425182911832134,-0.0670929374832134,-3.535738053046055
Sherman,48421,train,0.1335848921,0.0689426493744548,0.0646422427255451,3.5201147280494514
Parmer,48369,test,0.02540170419,0.0797972561311195,-0.0543955519411195,-2.855654851673028
Castro,48069,train,0.02153083041,0.0729526703177688,-0.0514218399077688,-2.696380204707466
Van Zandt,48467,test,0.1172074833,0.0659481706564637,0.0512593126435362,2.803313154705787
Lynn,48305,test,0.02313349689,0.0730011639670109,-0.0498676670770109,-2.613137333115925
Hansford,48195,test,0.01427170959,0.0610169670640102,-0.0467452574740102,-2.4458983127863574
Wharton,48481,train,0.1631139617,0.1183070162294063,0.0448069454705936,2.4577186613463775
Dawson,48115,train,0.1156535069,0.1587090919411323,-0.0430555850411323,-2.248276193504343
Hidalgo,48215,train,0.2911853936,0.2485374060849129,0.042647987515087,2.3420829634979397
Cochran,48079,train,0.01566744251,0.0576540284173072,-0.0419865859073072,-2.191019654291084
Cherokee,48073,train,0.1031652268,0.0615625152419505,0.0416027115580494,2.2860970586182523
Hale,48189,train,0.2183747034,0.1771414481264156,0.0412332552735844,2.266308653212008
Carson,48065,train,0.04613972831,0.0870286646630536,-0.0408889363530536,-2.1322285732163446
Deaf Smith,48117,train,0.1077959857,0.1473965924993808,-0.0396006067993808,-2.0632245027027234
